din_pin,ingredient,strength,strength_unit
66999994,BUPRENORPHINE,.4,MG
66999995,BUPRENORPHINE,2,MG
66999996,BUPRENORPHINE,8,MG
396680,CODEINE,15,MG
396699,CODEINE,30,MG
476773,CODEINE,8,MG
22123357,DIACETYLMORPHINE,100,MG
22123397,DIACETYLMORPHINE,186,MG
66128348,FENTANYL,100,MCG
22123156,FENTANYL,1300,MCG
22123158,FENTANYL,1300,MCG
22123212,FENTANYL,1500,MCG
22123034,FENTANYL,2500,MCG
22123037,FENTANYL,2500,MCG
22123042,FENTANYL,2500,MCG
22123032,FENTANYL,3600,MCG
66124592,FENTANYL,3600,MCG
22123029,FENTANYL,4800,MCG
66124579,FENTANYL,5000,MCG
22123027,FENTANYL,6000,MCG
22123028,FENTANYL,6000,MCG
22123035,FENTANYL,6000,MCG
22123036,FENTANYL,6000,MCG
66124567,FENTANYL,6000,MCG
66124584,FENTANYL,6000,MCG
22123026,FENTANYL,7000,MCG
66128347,FENTANYL,10000,MCG
66128363,FENTANYL,20000,MCG
22123202,FENTANYL,1000,MCG
22123321,FENTANYL,1000,MCG
66124522,FENTANYL,1000,MCG
66124605,FENTANYL,1000,MCG
66128316,FENTANYL,1000,MCG
66124553,FENTANYL,1100,MCG
66124566,FENTANYL,1100,MCG
22123204,FENTANYL,1200,MCG
22123206,FENTANYL,1200,MCG
22123178,FENTANYL,1300,MCG
66124628,FENTANYL,1325,MCG
22123323,FENTANYL,1500,MCG
66124282,FENTANYL,1500,MCG
22123207,FENTANYL,1500,MCG
22123049,FENTANYL,1600,MCG
22123201,FENTANYL,1750,MCG
22123181,FENTANYL,2000,MCG
22123064,FENTANYL,2000,MCG
22123079,FENTANYL,2000,MCG
22123179,FENTANYL,2000,MCG
22123199,FENTANYL,2000,MCG
22123209,FENTANYL,2000,MCG
22123213,FENTANYL,2000,MCG
22123325,FENTANYL,2000,MCG
66124531,FENTANYL,2000,MCG
66128328,FENTANYL,2000,MCG
22123094,FENTANYL,2000,MCG
66124543,FENTANYL,2300,MCG
66124632,FENTANYL,2300,MCG
66124837,FENTANYL,2300,MCG
22123138,FENTANYL,2400,MCG
66127936,FENTANYL,2400,MCG
22123219,FENTANYL,2400,MCG
66124578,FENTANYL,2500,MCG
66124598,FENTANYL,2500,MCG
22123053,FENTANYL,2500,MCG
66124202,FENTANYL,2500,MCG
66124422,FENTANYL,2500,MCG
66124564,FENTANYL,2500,MCG
66128314,FENTANYL,250,MCG
22123123,FENTANYL,3000,MCG
22123131,FENTANYL,3000,MCG
22123132,FENTANYL,3000,MCG
22123136,FENTANYL,3000,MCG
22123139,FENTANYL,3000,MCG
22123161,FENTANYL,3000,MCG
22123173,FENTANYL,3000,MCG
22123182,FENTANYL,3000,MCG
22123184,FENTANYL,3000,MCG
22123190,FENTANYL,3000,MCG
22123197,FENTANYL,3000,MCG
22123198,FENTANYL,3000,MCG
22123205,FENTANYL,3000,MCG
22123322,FENTANYL,3000,MCG
66124283,FENTANYL,3000,MCG
66124464,FENTANYL,3000,MCG
66124465,FENTANYL,3000,MCG
66128329,FENTANYL,3000,MCG
22123052,FENTANYL,3000,MCG
22123096,FENTANYL,3000,MCG
66124203,FENTANYL,3000,MCG
22123185,FENTANYL,3000,MCG
22123149,FENTANYL,3000,MCG
66124329,FENTANYL,3000,MCG
22123098,FENTANYL,3000,MCG
22123121,FENTANYL,3000,MCG
22123160,FENTANYL,3000,MCG
22123192,FENTANYL,3000,MCG
22123275,FENTANYL,3000,MCG
22123133,FENTANYL,3000,MCG
22123140,FENTANYL,3000,MCG
22123166,FENTANYL,3000,MCG
22123116,FENTANYL,3000,MCG
22123193,FENTANYL,300,MCG
66124585,FENTANYL,3500,MCG
66124633,FENTANYL,3500,MCG
66124570,FENTANYL,3500,MCG
22123041,FENTANYL,3600,MCG
22123040,FENTANYL,3650,MCG
22123044,FENTANYL,3850,MCG
22123111,FENTANYL,4000,MCG
22123113,FENTANYL,4000,MCG
66124285,FENTANYL,4000,MCG
66124286,FENTANYL,4000,MCG
66124287,FENTANYL,4000,MCG
66124294,FENTANYL,4000,MCG
66124308,FENTANYL,4000,MCG
66124319,FENTANYL,4000,MCG
66124331,FENTANYL,4000,MCG
66124356,FENTANYL,4000,MCG
66124476,FENTANYL,4000,MCG
66124490,FENTANYL,4000,MCG
66124530,FENTANYL,4000,MCG
66124537,FENTANYL,4000,MCG
66124552,FENTANYL,4000,MCG
66124586,FENTANYL,4000,MCG
66124595,FENTANYL,4000,MCG
66124600,FENTANYL,4000,MCG
66128330,FENTANYL,4000,MCG
66124271,FENTANYL,4000,MCG
66124204,FENTANYL,4000,MCG
22123095,FENTANYL,4000,MCG
22123080,FENTANYL,4000,MCG
22123063,FENTANYL,4000,MCG
22123073,FENTANYL,4000,MCG
22123097,FENTANYL,4000,MCG
22123125,FENTANYL,4000,MCG
22123119,FENTANYL,4000,MCG
66124278,FENTANYL,4000,MCG
22123194,FENTANYL,400,MCG
66124602,FENTANYL,4500,MCG
66124630,FENTANYL,4500,MCG
66124589,FENTANYL,4600,MCG
66124604,FENTANYL,4600,MCG
66124324,FENTANYL,4700,MCG
22123208,FENTANYL,5000,MCG
66124335,FENTANYL,5000,MCG
66124343,FENTANYL,5000,MCG
66124357,FENTANYL,5000,MCG
66124360,FENTANYL,5000,MCG
66124392,FENTANYL,5000,MCG
66124518,FENTANYL,5000,MCG
66124545,FENTANYL,5000,MCG
66124549,FENTANYL,5000,MCG
66124577,FENTANYL,5000,MCG
66124587,FENTANYL,5000,MCG
66124588,FENTANYL,5000,MCG
66127964,FENTANYL,5000,MCG
66128331,FENTANYL,5000,MCG
22123077,FENTANYL,5000,MCG
22123085,FENTANYL,5000,MCG
66128315,FENTANYL,500,MCG
22123038,FENTANYL,500,MCG
22123039,FENTANYL,500,MCG
66124254,FENTANYL,5400,MCG
66124607,FENTANYL,5500,MCG
66124593,FENTANYL,5600,MCG
66124342,FENTANYL,6000,MCG
66124351,FENTANYL,6000,MCG
